Generator,MaxCap,MinStable,MinUpTime,MinDownTime,DownHrInitial,MaxRampUpTime,MaxRampDownTime
ReEDS_re-ct_p63_73,53.1778,31.9067,0,0,10000,4.254225,4.254225
ReEDS_re-ct_p63_236,53.1778,31.9067,0,0,10000,4.254225,4.254225
ReEDS_re-ct_p63_34,53.1778,31.9067,0,0,10000,4.254225,4.254225
ReEDS_re-ct_p63_134,53.1778,31.9067,0,0,10000,4.254225,4.254225
ReEDS_re-ct_p63_210,53.1778,31.9067,0,0,10000,4.254225,4.254225
ReEDS_re-ct_p63_21,53.1778,31.9067,0,0,10000,4.254225,4.254225
ReEDS_re-ct_p63_245,53.1778,31.9067,0,0,10000,4.254225,4.254225
ReEDS_re-ct_p63_59,53.1778,31.9067,0,0,10000,4.254225,4.254225
ReEDS_gas-cc_re-cc_p65_1,884,442,6,8,10000,44.2,44.2
ReEDS_re-ct_p63_162,53.1778,31.9067,0,0,10000,4.254225,4.254225
ReEDS_re-ct_p63_149,53.1778,31.9067,0,0,10000,4.254225,4.254225
ReEDS_re-ct_p63_197,53.1778,31.9067,0,0,10000,4.254225,4.254225
ReEDS_re-ct_p63_11,53.1778,31.9067,0,0,10000,4.254225,4.254225
ReEDS_re-ct_p63_222,53.1778,31.9067,0,0,10000,4.254225,4.254225
ReEDS_re-ct_p63_161,53.1778,31.9067,0,0,10000,4.254225,4.254225
ReEDS_re-ct_p63_143,53.1778,31.9067,0,0,10000,4.254225,4.254225
ReEDS_gas-cc_re-cc_p63_3,322.7,161.35,6,8,10000,16.135,16.135
ReEDS_re-ct_p63_109,53.1778,31.9067,0,0,10000,4.254225,4.254225
ReEDS_re-ct_p63_160,53.1778,31.9067,0,0,10000,4.254225,4.254225
ReEDS_re-ct_p63_224,53.1778,31.9067,0,0,10000,4.254225,4.254225
ReEDS_re-ct_p63_40,53.1778,31.9067,0,0,10000,4.254225,4.254225
ReEDS_gas-cc_re-cc_p63_8,322.7,161.35,6,8,10000,16.135,16.135
ReEDS_re-ct_p63_137,53.1778,31.9067,0,0,10000,4.254225,4.254225
ReEDS_re-ct_p63_158,53.1778,31.9067,0,0,10000,4.254225,4.254225
ReEDS_re-ct_p63_25,53.1778,31.9067,0,0,10000,4.254225,4.254225
